#,Company Name,Website,Primary Contact Role,Secondary Contact Role,Business Type,Messaging Focus,Key Pain Points,Primary Contact LinkedIn,Initial Message Sent,Follow-up Sent
1,Chewy,chewy.com,Chief Compliance Officer,VP of Digital Experience,Large Retailer - Full Range,"Legal risk mitigation, market leadership, customer trust","High lawsuit risk due to size, brand reputation protection",https://www.linkedin.com/in/susan-helfrick-9a17437/,False,False
2,Petco,petco.com,Director of Digital Experience,Accessibility Coordinator,Large Retailer - Full Range,"Inclusivity commitment, competitive advantage","Omnichannel consistency, large customer base",https://www.linkedin.com/in/lauracpickard/,False,False
3,PetSmart,petsmart.com,Digital Operations Manager,Legal Counsel,Large Retailer - Full Range,"Legal compliance, customer loyalty, SEO benefits","Multi-channel operations, legal exposure",https://www.linkedin.com/in/annettegionfriddo/,False,False
4,BarkBox,barkbox.com,Product Manager,Customer Experience Lead,Subscription Service - Dogs,"Subscription retention, diverse audience reach","Customer experience quality, recurring revenue protection",https://www.linkedin.com/in/markhanna2/,False,False
5,1-800-PetMeds,1800petmeds.com,Chief Technology Officer,Compliance Officer,Online Pharmacy,"Healthcare accessibility standards, trust building","FDA + ADA compliance, medical liability",https://www.prnewswire.com/news-releases/petmeds-announces-new-technology-platform,False,False
6,VetDepot,vetdepot.com,Operations Manager,Web Development Lead,Online Pharmacy,"User trust, medical service accessibility","Healthcare regulations, customer confidence",,False,False
7,Pet Supplies Plus,petsuppliesplus.com,Digital Marketing Manager,IT Director,Retailer - Full Range,"Enhanced shopping experience, increased conversions","Store + online integration, competitive market",https://www.linkedin.com/in/emily-lange-ab777217/,False,False
8,Only Natural Pet,onlynaturalpet.com,Marketing Director,Web Content Manager,Specialty - Natural Products,"Brand values alignment, holistic inclusivity","Niche market reputation, conscious consumers",https://www.linkedin.com/in/andycdowns/,False,False
9,PetFlow,petflow.com,Operations Manager,Customer Service Head,Delivery Service,"Streamlined ordering, accessibility for all","Subscription model, ease of use critical",,False,False
10,PetCareRx,petcarerx.com,Legal Counsel,Web Accessibility Specialist,Online Pharmacy,"Legal imperatives, customer satisfaction","Prescription service compliance, liability",,False,False
11,Litter-Robot,litter-robot.com,Product Development Manager,Compliance Officer,Specialty - Cat Products,"Innovation + accessibility, diverse customers",Premium pricing requires premium experience,,False,False
12,The Pet Lab Co.,thepetlabco.com,E-commerce Manager,Accessibility Coordinator,Specialty - Supplements,"Broader audience reach, brand reputation","Growing brand, building trust",,False,False
13,Healthy Paws Pet Insurance,healthypawspetinsurance.com,Customer Experience Director,Compliance Specialist,Pet Insurance,"Insurance accessibility, policy information access",Complex products need clear communication,https://www.linkedin.com/in/calvin-johnson-09003419/,False,False
14,Adopt-a-Pet,adoptapet.com,Technology Director,User Experience Lead,Adoption Platform,"Inclusive adoption process, social mission","Mission-driven, must serve all communities",,False,False
15,Doggy Superfoods,doggysuperfoods.com,Founder/Owner,E-commerce Manager,Specialty - Dog Food,"Premium brand positioning, customer experience","Small business, boutique market",,False,False
16,Petmate,petmate.com,VP of Digital,Compliance Manager,Manufacturer/Retailer,"B2C + B2B accessibility, broader market",Manufacturing + retail hybrid model,https://www.linkedin.com/in/shannon-mcwilliams-1a923a5/,False,False
17,PetSafe,petsafe.com,Digital Director,Legal Team,Manufacturer/Retailer,"Product information accessibility, trust",Technical products need clear instructions,https://www.linkedin.com/in/stephendoucette/,False,False
18,Orvis,orvis.com,E-commerce Director,Accessibility Lead,Luxury Pet Gear,"Premium customer experience, brand standards","High-end market, quality expectations",https://www.linkedin.com/in/gallowaybrian/,False,False
19,West Paw,westpaw.com,Marketing Manager,Web Developer,Specialty - Eco Products,"Sustainability + inclusivity, values alignment","Eco-conscious brand, progressive values",https://www.linkedin.com/in/caryduggan/,False,False
20,Tuft + Paw,tuftandpaw.com,Founder,Product Manager,Specialty - Modern Cat,"Design excellence + accessibility, millennial market","Design-forward brand, modern consumers",https://www.linkedin.com/in/jackson-cunningham-🐾-04286994,False,False
21,Wild One,wildone.com,Head of Digital,Customer Experience,Specialty - Dog Gear,"Lifestyle brand accessibility, Instagram generation","Social commerce, visual accessibility",,False,False
22,Finn,meetfinn.com,CTO,Product Lead,Specialty - Dog Supplements,"Health product accessibility, trust building",Supplement regulation + accessibility,https://www.crunchbase.com/person/loren-kirkby,False,False
23,The Farmer's Dog,thefarmersdog.com,VP of Technology,Operations Director,Fresh Dog Food,"Subscription UX, personalized service accessibility","Complex onboarding, customization",https://www.linkedin.com/in/adrian-evans-660a3434/,False,False
24,Nom Nom,nomnomnow.com,Digital Product Manager,Customer Success Lead,Fresh Pet Food,"Personalized nutrition accessibility, conversion optimization","High-value subscriptions, customer lifetime value",https://www.linkedin.com/in/zachlp/,False,False
25,Spot & Tango,spotandtango.com,E-commerce Lead,Tech Director,Fresh Dog Food,"Quiz accessibility, personalized experience","Onboarding process critical, consultative sales",,False,False
26,Ollie,myollie.com,Product Manager,Engineering Lead,Fresh Dog Food,"Meal plan accessibility, customer acquisition","Competitive market, differentiation",,False,False
27,Open Farm,openfarmpet.com,Digital Marketing Manager,Web Team Lead,Specialty - Sustainable Food,"Transparency + accessibility, conscious consumers","Premium pricing, education-heavy",https://www.linkedin.com/in/mark-sapir-204797,False,False
28,Stella & Chewy's,stellaandchewys.com,E-commerce Director,Compliance Officer,Specialty - Raw Food,"Product education accessibility, trust","Complex products, regulatory environment",https://www.prnewswire.com,False,False
29,Primal Pet Foods,primalpetfoods.com,Marketing Director,IT Manager,Specialty - Raw Food,"Educational content accessibility, safety info","Raw food education critical, safety focus",https://www.linkedin.com/in/courtneylouch,False,False
30,Honest Kitchen,thehonestkitchen.com,VP Digital,Customer Experience,Specialty - Dehydrated Food,"Brand story accessibility, values-driven","Niche product, customer education",,False,False
31,Ziwi Peak,ziwiusa.com,US Operations Manager,Digital Team,Premium - International,"Premium experience, global standards","Import brand, premium positioning",https://www.linkedin.com/in/clarkreinhard/,False,False
32,Acana,acana.com,Brand Manager,Web Development,Premium Dog Food,"Product info accessibility, ingredient transparency","Ingredient-focused, information-dense",https://www.linkedin.com/in/aurelie-brouwers/,False,False
33,Orijen,orijen.ca,Digital Director,Compliance Lead,Premium Pet Food,"Scientific content accessibility, professional audience","Technical content, professional breeders",https://www.linkedin.com/in/david-mcdermott-3b04312b/,False,False
34,Wellness Pet Food,wellnesspetfood.com,E-commerce Manager,Accessibility Specialist,Premium Pet Food,"Health information accessibility, vet recommendations","Medical claims, professional endorsements",https://www.linkedin.com/in/mary-elizabeth-lavene-37376a3/,False,False
35,Blue Buffalo,bluebuffalo.com,Digital Operations,Legal Compliance,Major Pet Food Brand,"Mass market accessibility, Walmart partnership","Retail + online, massive reach",https://www.linkedin.com/company/blue-buffalo-co,False,False
36,Purina,purina.com,VP of Digital,Compliance Director,Major Pet Food Brand,"Corporate responsibility, industry leadership","Market leader, regulatory scrutiny",https://www.comparably.com/companies/purina/executive-team,False,False
37,Hill's Pet Nutrition,hillspet.com,Digital Experience Lead,Compliance Manager,Veterinary Diet,"Prescription diet accessibility, vet portal","Medical products, professional access",https://www.linkedin.com/company/hill-s-pet-nutrition,False,False
38,Royal Canin,royalcanin.com,E-commerce Director,Web Accessibility Team,Veterinary Diet,"Scientific accessibility, breed-specific info","Technical information, professional market",https://www.linkedin.com/in/laurent-besnier-438428107/,False,False
39,Instinct Pet Food,instinctpetfood.com,Brand Digital Lead,Marketing Manager,Natural Pet Food,"Raw nutrition education, accessibility","Natural products, education-heavy",https://www.linkedin.com/company/instinctpetfood,False,False
40,Natural Balance,naturalbalanceinc.com,Marketing Director,Web Development,Pet Food,"Special diet accessibility, allergy info","Medical claims, sensitive formulas",https://www.naturalbalanceinc.com/meet-the-team/,False,False
41,Taste of the Wild,tasteofthewildpetfood.com,E-commerce Lead,Compliance,Grain-Free Food,"Product information, retailer + DTC","Hybrid model, grain-free regulation",,False,False
42,Merrick Pet Care,merrickpetcare.com,Digital Marketing,Operations,Premium Pet Food,"Recipe accessibility, ingredient sourcing","Ingredient storytelling, transparency",https://www.linkedin.com/in/ken-wilks-b81001a/,False,False
43,Nutro,nutro.com,Brand Manager,Digital Team,Natural Pet Food,"Clean ingredients, simple messaging","Mars brand, corporate standards",https://www.linkedin.com/in/robin-lieberman/,False,False
44,Halo Pet Food,halopets.com,Marketing Manager,E-commerce Lead,Holistic Pet Food,"Whole food philosophy, accessibility","Holistic market, education focus",https://www.linkedin.com/in/yaskulka/,False,False
45,Castor & Pollux,castorpolluxpet.com,E-commerce Director,Marketing,Organic Pet Food,"Organic certification + accessibility, premium","USDA organic + ADA, dual compliance",https://www.linkedin.com/in/robbcaseria/,False,False
46,Dr. Elsey's,drelseys.com,Operations Manager,Web Team,Cat Litter Specialist,"Problem-solving accessibility, vet-developed","Technical products, behavioral solutions",https://www.linkedin.com/company/dr-elseys,False,False
47,World's Best Cat Litter,worldsbestcatlitter.com,Marketing Director,Digital Manager,Cat Litter,"Sustainability + accessibility, eco-claims","Environmental claims, green consumers",https://www.linkedin.com/company/mpm-products-ltd,False,False
48,Fresh Step,freshstep.com,Brand Manager,Digital Operations,Cat Litter - Major Brand,"Mass market accessibility, innovation","Clorox brand, corporate standards",https://www.linkedin.com/company/the-clorox-company,False,False
49,Arm & Hammer Pet Care,armandhammerpetcare.com,E-commerce Lead,Compliance,Cat Litter,"Trusted brand extension, mass market","Corporate parent, wide distribution",https://www.linkedin.com/company/church-&-dwight,False,False
50,Tidy Cats,tidycats.com,Digital Director,Brand Team,Cat Litter,"Purina brand standards, innovation","Major brand, market leader",https://www.linkedin.com/company/purina,False,False
51,PrettyLitter,prettylitter.com,CTO,Customer Acquisition,Health-Monitoring Litter,"DTC subscription, health monitoring UX","Tech product, subscription model",https://www.linkedin.com/company/pretty-litter,False,False
52,Catalyst Pet,catalystpet.com,Founder,Operations Manager,Cat Litter - DTC,"Subscription experience, eco-focus","Small DTC, competitive market",https://lignetics.com/brands/catalyst-pet/,False,False
53,Petfinder,petfinder.com,Technology Director,Accessibility Lead,Adoption Platform,"Social mission, inclusive adoption","Non-profit mission, must serve all",https://www.linkedin.com/company/petfinder.com,False,False
54,Rescue Me,rescueme.org,Executive Director,Web Volunteer,Adoption Directory,"Rescue accessibility, volunteer-driven","Limited resources, maximum impact",,False,False
55,PetFinder Foundation,petfinderfoundation.com,Program Director,Tech Team,Non-Profit,"Grant accessibility, donor experience","Non-profit compliance, mission-critical",https://www.linkedin.com/company/petfinder.com,False,False
56,Best Friends Animal Society,bestfriends.org,Digital Director,Accessibility Coordinator,Animal Welfare,"Advocacy + accessibility, no-kill mission","Large non-profit, national reach",https://www.linkedin.com/in/jessieearl/,False,False
57,ASPCA,aspca.org,VP of Digital,Compliance Officer,Animal Welfare,"Donor accessibility, advocacy","Major non-profit, legal scrutiny",https://www.linkedin.com/in/hartmannjj/,False,False
58,Humane Society,humanesociety.org,Chief Digital Officer,Web Accessibility,Animal Welfare - National,"Legislative content accessibility, advocacy","Political content, broad audience",https://www.linkedin.com/in/nicole-paquette/,False,False
59,RedRover,redrover.org,Executive Director,Communications,Emergency Pet Relief,"Crisis services accessibility, urgent needs","Emergency services, accessibility critical",https://www.linkedin.com/company/rover-com,False,False
60,Petco Foundation,petcofoundation.org,Foundation Director,Digital Lead,Pet Charity,"Adoption + grant accessibility, transparency","Foundation compliance, corporate backing",https://petcolove.org,False,False
61,Banfield Pet Hospital,banfield.com,VP Digital Health,Compliance Manager,Veterinary Services,"Medical portal accessibility, HIPAA + ADA","Healthcare provider, dual compliance",https://www.linkedin.com/company/banfield-pet-hospital,False,False
62,VCA Animal Hospitals,vcahospitals.com,Digital Experience Lead,Legal Compliance,Veterinary Chain,"Appointment booking accessibility, multi-location","Healthcare + multi-location, complex",https://www.linkedin.com/in/brendantlynch/,False,False
63,BluePearl,bluepearlvet.com,IT Director,Operations,Emergency Vet,"Emergency services accessibility, urgent care","Critical services, 24/7 access needed",https://www.linkedin.com/company/bluepearl-vet,False,False
64,PetVet365,petvet365.com,Technology Director,Compliance,Veterinary Care,"Pet parent portal accessibility, records access","Medical records, privacy compliance",https://www.linkedin.com/company/petvet365,False,False
65,Fuzzy,fuzzy.com,CTO,Product Manager,Telehealth for Pets,"Telemedicine accessibility, video consultations","Digital health, video accessibility",https://www.linkedin.com/company/fuzzy,False,False
66,Vetster,vetster.com,VP of Product,Engineering Lead,Virtual Vet,"Video consultation accessibility, booking","International platform, WCAG compliance",https://www.linkedin.com/company/vetster,False,False
67,Pawp,pawp.com,Head of Product,Customer Experience,Emergency Telehealth,"Emergency text/video accessibility, urgent","24/7 emergency, critical access",https://www.linkedin.com/company/pawp,False,False
68,Dutch,dutch.com,CTO,Compliance Officer,Online Pet Pharmacy,"Telehealth + pharmacy, prescription access","Healthcare compliance, controlled substances",https://www.crunchbase.com/person/joe-spector,False,False
69,Lemonade Pet Insurance,lemonade.com/pet,Product Manager,Legal Team,Pet Insurance,"Policy accessibility, claims process","InsurTech, digital-first, regulatory",https://www.linkedin.com/in/sarah-baker-688a99143/,False,False
70,Nationwide Pet Insurance,petinsurance.com,VP Digital,Compliance Director,Pet Insurance,"Policy documents accessibility, senior market",Insurance regulations + ADA,https://www.linkedin.com/in/rebecca-lilis-32198b4/,False,False
71,Embrace Pet Insurance,embracepetinsurance.com,Marketing Director,Web Development,Pet Insurance,"Claims accessibility, customer portal","Customer service, complex products",https://www.linkedin.com/in/davidjrodgers/,False,False
72,Trupanion,trupanion.com,Digital Product Lead,Accessibility Team,Pet Insurance,"Real-time claims accessibility, vet integration","Vet software integration, B2B + B2C",https://www.linkedin.com/in/margi-tooth-a3468811/,False,False
73,ASPCA Pet Health Insurance,aspcapetinsurance.com,E-commerce Manager,Operations,Pet Insurance,"Trusted brand, policy accessibility","ASPCA brand standards, trust",https://www.linkedin.com/in/hartmannjj/,False,False
74,Petplan,gopetplan.com,Digital Director,Customer Experience,Pet Insurance,"Comprehensive coverage, senior pets","Older pet market, complex claims",https://www.linkedin.com/company/petplanuk,False,False
75,Figo Pet Insurance,figopetinsurance.com,Head of Digital,Product Team,Pet Insurance,"App accessibility, digital-first","Mobile-first, young demographic",https://www.crunchbase.com/person/loren-kirkby,False,False
76,Pumpkin Pet Insurance,pumpkin.care,CTO,Compliance Lead,Pet Insurance + Wellness,"Preventive care accessibility, modern brand","Wellness + insurance, bundled",https://www.linkedin.com/company/pumpkinpets,False,False
77,Pets Best,petsbest.com,E-commerce Lead,Marketing,Pet Insurance,"Value + accessibility, direct marketing","Price-sensitive market, conversions",,False,False
78,Spot Pet Insurance,spotpetins.com,Product Manager,Engineering,Pet Insurance,"Instant quotes, streamlined UX","Quick quotes, seamless experience",https://www.linkedin.com/in/scotttaylor714/,False,False
79,PetFirst,petfirst.com,Operations Manager,Web Team,Pet Insurance,"Regional focus, personal service","Smaller player, personalization",https://www.crunchbase.com/person/loren-kirkby,False,False
80,Bivvy,bivvy.com,Head of Product,Customer Success,Budget Pet Insurance,"Affordable accessibility, value market","Low-cost, must maintain quality UX",https://www.linkedin.com/company/bivvy-pet-insurance,False,False
81,Wag!,wagwalking.com,CTO,Product Lead,Dog Walking Platform,"Gig worker + pet parent accessibility, booking","Two-sided marketplace, accessibility",https://www.linkedin.com/company/wag-group-co,False,False
82,Rover,rover.com,VP of Product,Engineering Director,Pet Sitting Platform,"Booking accessibility, trust & safety","Marketplace model, peer-to-peer",https://www.linkedin.com/company/rover-com,False,False
83,Care.com Pets,care.com/pets,Product Director,Compliance Manager,Pet Care Marketplace,"Multi-service accessibility, background checks","Marketplace + screening, trust",https://www.linkedin.com/company/care-com,False,False
84,Fetch by The Dodo,fetchpet.com,Head of Product,Brand Team,Pet Care + Content,"Content + commerce accessibility, millennial","Media brand, affiliate commerce",https://www.linkedin.com/company/fetch-pet-insurance,False,False
85,DogVacay (part of Rover),rover.com,Integration Lead,Operations,Pet Boarding,"Merged platform accessibility, legacy users","Platform migration, consistency",https://www.linkedin.com/company/rover-com,False,False
86,Paw.com,paw.com,Founder,Tech Lead,Pet Wellness,"Holistic wellness accessibility, membership","Wellness model, subscription",https://www.linkedin.com/company/pawdotcom,False,False
87,Petcube,petcube.com,VP of Product,Engineering,Pet Camera + Care,"IoT + app accessibility, tech product","Hardware + software, tech UX",https://www.linkedin.com/in/andreyklen/,False,False
88,Furbo,furbo.com,Digital Marketing,Product Team,Pet Camera,"Smart home accessibility, IoT","Tech product, international",https://www.linkedin.com/company/tomofun,False,False
89,Whistle,whistle.com,Product Manager,Compliance,Pet GPS + Health,"Health tracking accessibility, data visualization","Wearable tech, data privacy",https://www.linkedin.com/in/kevin-lloyd,False,False
90,Fi,tryfi.com,CTO,Customer Experience,Dog GPS Collar,"GPS tracking accessibility, outdoor market","Active lifestyle, adventure focus",https://www.crunchbase.com/person/loren-kirkby,False,False
91,Link AKC,linkakc.com,Digital Product Lead,Operations,Smart Collar,"AKC partnership, breed registry","Partnership platform, data integration",,False,False
92,BarkBox,barkshop.com,E-commerce Director,Product Manager,Dog Toys + Treats,"Curated experience, subscription + retail","Dual channel, brand experience",https://www.linkedin.com/in/markhanna2/,False,False
93,BullySticks.com,bullysticks.com,Owner,Marketing Manager,Dog Treats Specialist,"Niche product accessibility, bulk orders","Specialty treats, education",,False,False
94,BestBullySticks,bestbullysticks.com,Operations Lead,Customer Service,Dog Chews,"Product variety accessibility, wholesale + retail","B2B + B2C, complex pricing",https://www.linkedin.com/company/best-bully-sticks,False,False
95,Chewy Pharmacy,chewy.com/pharmacy,Pharmacy Director,Compliance Officer,Pet Pharmacy,"Prescription management, auto-refill","Pharmacy compliance, medical",https://www.linkedin.com/in/susan-helfrick-9a17437/,False,False
96,Petco Pharmacy,petco.com/pharmacy,Pharmacy Manager,Digital Health,Pet Pharmacy,"Integrated retail + pharmacy, omnichannel","Physical + online pharmacy, complex",https://www.linkedin.com/in/lauracpickard/,False,False
97,Amazon Pets,amazon.com/pets,Category Manager,Accessibility Team,Major E-commerce,"Everything store accessibility, competitive prices","Amazon standards, massive scale",https://www.linkedin.com/in/eleanor-goode-009b2212/,False,False
98,Walmart Pets,walmart.com/pets,Digital Director,Compliance,Major E-commerce,"Value + accessibility, omnichannel","Retail giant, corporate standards",https://www.linkedin.com/in/elizabethareilly/,False,False
99,Target Pets,target.com/pets,Category Lead,Digital Experience,Major E-commerce,"Style + value, designer collaborations","Design focus, guest experience",https://www.linkedin.com/company/target,False,False
100,Costco Pets,costco.com/pets,E-commerce Manager,Membership Services,Warehouse Club,"Membership accessibility, bulk","Members-only, unique model",https://www.linkedin.com/company/costco-wholesale,False,False
